2021-08-27 07:16:58 install libcom-err2:amd64 <none> 1.45.5-2ubuntu1
2021-08-27 07:16:58 status half-installed libcom-err2:amd64 1.45.5-2ubuntu1
2021-08-27 07:16:58 status unpacked libcom-err2:amd64 1.45.5-2ubuntu1
2021-08-27 07:16:58 install libcrypt1:amd64 <none> 1:4.4.10-10ubuntu4
2021-08-27 07:16:58 status half-installed libcrypt1:amd64 1:4.4.10-10ubuntu4
2021-08-27 07:16:58 status unpacked libcrypt1:amd64 1:4.4.10-10ubuntu4
2021-08-27 07:16:58 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.6ubuntu2
2021-08-27 07:16:58 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2021-08-27 07:16:58 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2021-08-27 07:16:58 install libdebconfclient0:amd64 <none> 0.251ubuntu1
2021-08-27 07:16:58 status half-installed libdebconfclient0:amd64 0.251ubuntu1
2021-08-27 07:16:58 status unpacked libdebconfclient0:amd64 0.251ubuntu1
2021-08-27 07:16:58 install libext2fs2:amd64 <none> 1.45.5-2ubuntu1
2021-08-27 07:16:58 status half-installed libext2fs2:amd64 1.45.5-2ubuntu1
2021-08-27 07:16:58 status unpacked libext2fs2:amd64 1.45.5-2ubuntu1
2021-08-27 07:16:58 install libfdisk1:amd64 <none> 2.34-0.1ubuntu9
2021-08-27 07:16:58 status half-installed libfdisk1:amd64 2.34-0.1ubuntu9
2021-08-27 07:16:58 status unpacked libfdisk1:amd64 2.34-0.1ubuntu9
2021-08-27 07:16:58 install libgcc-s1:amd64 <none> 10-20200411-0ubuntu1
2021-08-27 07:16:58 status half-installed libgcc-s1:amd64 10-20200411-0ubuntu1
2021-08-27 07:16:58 status unpacked libgcc-s1:amd64 10-20200411-0ubuntu1
2021-08-27 07:16:58 install libgcrypt20:amd64 <none> 1.8.5-5ubuntu1
2021-08-27 07:16:58 status half-installed libgcrypt20:amd64 1.8.5-5ubuntu1
2021-08-27 07:16:58 status unpacked libgcrypt20:amd64 1.8.5-5ubuntu1
2021-08-27 07:16:58 install libgpg-error0:amd64 <none> 1.37-1
2021-08-27 07:16:58 status half-installed libgpg-error0:amd64 1.37-1
2021-08-27 07:16:58 status unpacked libgpg-error0:amd64 1.37-1
2021-08-27 07:16:58 install liblz4-1:amd64 <none> 1.9.2-2
2021-08-27 07:16:58 status half-installed liblz4-1:amd64 1.9.2-2
2021-08-27 07:16:58 status unpacked liblz4-1:amd64 1.9.2-2
2021-08-27 07:16:58 install liblzma5:amd64 <none> 5.2.4-1
2021-08-27 07:16:58 status half-installed liblzma5:amd64 5.2.4-1
2021-08-27 07:16:58 status unpacked liblzma5:amd64 5.2.4-1
